id,Model,Year,Vehicle_Age,Nightly Price,Amenity Count,Has Bathroom,Has Generator,Instant Book,sleeps,length,review_score,City,State,lat,lng
1640820,RAM Promaster 3500 EXT High Roof,2021,4,250.0,3,1,1,True,2,19.0,0.0,Robertsdale,AL,30.53,-87.58
1736928,Winnebago Travato 59G,2018,7,199.0,2,1,1,False,3,21.0,100.0,Orange Beach,AL,30.29,-87.62
1731061,Mercedes Sprinter 2500,2016,9,178.0,2,1,1,False,4,19.6,0.0,Pace,FL,30.63,-87.19
1719711,Midwest Automotive Designs Passage MD4 Lounge 170 EXT,2021,4,191.0,0,0,0,False,2,24.0,100.0,Pelham,AL,33.31,-86.78
1686274,Winnebago Era 70X,2014,11,195.0,2,1,1,False,2,24.0,100.0,Birmingham,AL,33.42,-86.66
1669451,Sprinter Mercedes 2500,2014,11,300.0,0,0,0,False,1,20.0,0.0,Birmingham,AL,33.41,-86.64
1751158,Winnebago Solis 59PX,2021,4,299.0,1,0,1,False,4,21.0,0.0,New Market,AL,34.94,-86.43
1625413,Ford Transit High Roof,2020,5,200.0,0,0,0,False,3,22.0,100.0,Chattanooga,TN,35.09,-85.24
1698254,Mercedes Mercedes Sprinter,2017,8,265.0,2,1,0,True,2,19.0,95.0,Anchorage,AK,61.14,-149.85
1641848,Sprinter Mercedes 2wd,2014,11,265.0,2,1,0,True,2,19.0,100.0,Anchorage,AK,61.14,-149.85
1647659,Mercedes Sprinter 2500 4x4,2022,3,361.0,1,1,0,False,2,19.0,100.0,Anchorage,AK,61.14,-149.85
1590799,Mercedes freightliner Sprinter 2500 4x4,2021,4,329.0,2,1,0,True,2,19.0,100.0,Anchorage,AK,61.14,-149.85
1431992,Dodge promaster 2500,2018,7,243.0,1,1,0,False,2,20.0,100.0,Anchorage,AK,61.16,-149.84
1749887,Winnebago Travato 59K,2018,7,379.0,2,0,1,True,2,21.0,0.0,Anchorage,AK,61.22,-149.87
1749890,Roadtrek Roadtrek Chase,2022,3,409.0,2,0,1,True,2,20.0,0.0,Anchorage,AK,61.22,-149.87
1648461,Ford Transit High Roof,2019,6,280.0,1,0,1,False,2,22.0,83.333,Anchorage,AK,61.16,-149.87
1667392,Mercedes Sprinter 2500,2015,10,349.0,0,0,0,False,3,22.0,86.667,Anchorage,AK,61.16,-149.87
1709066,"RAM Promaster 159"" Converted Campervan",2023,2,299.0,0,0,0,False,4,20.0,0.0,Anchorage,AK,61.1,-149.86
1569968,Ford Transit 350 High Roof,2020,5,349.0,1,1,0,False,4,22.0,100.0,Anchorage,AK,61.16,-149.87
1709061,Mercedes Sprinter Converted Sprinter van,2020,5,299.0,0,0,0,False,4,20.0,100.0,Anchorage,AK,61.1,-149.86
1740766,"Dodge Ram Promaster 159""",2021,4,299.0,1,0,1,False,4,13.25,0.0,Anchorage,AK,61.1,-149.86
1677685,Mercedes-Benz Sprinter 2500,2021,4,349.0,1,0,1,False,5,21.0,100.0,Anchorage,AK,61.16,-149.87
1716634,Winnebago Solis 36A,2021,4,280.0,1,0,1,False,3,18.0,80.0,Anchorage,AK,61.16,-149.87
1613277,Mercedes Bens Mercedes Sprinter,2008,17,349.0,0,0,0,False,2,24.0,0.0,Anchorage,AK,61.16,-149.87
1667385,Mercedes Sprinter 2500,2013,12,329.0,0,0,0,False,4,22.0,100.0,Anchorage,AK,61.16,-149.87
1714582,Ram Promaster Cargo Van,2015,10,280.0,1,0,1,False,2,18.0,0.0,Anchorage,AK,61.16,-149.87
1714695,Dodge Grand Caravan,2017,8,209.0,1,0,1,False,4,17.0,0.0,Anchorage,AK,61.16,-149.87
1716734,Dodge Promaster Van,2018,7,329.0,1,0,1,False,2,19.0,0.0,Anchorage,AK,61.16,-149.87
1662870,Mercedes Sprinter 2500,2021,4,329.0,0,0,0,False,2,22.0,100.0,Anchorage,AK,61.16,-149.87
1664369,Ford Transit High Roof 350,2016,9,339.0,1,1,0,False,4,22.0,100.0,Anchorage,AK,61.16,-149.87
1476649,Ram Promaster 1500,2019,6,275.0,0,0,0,False,2,18.0,0.0,Anchorage,AK,61.17,-149.98
1712184,Roadtrek Adventurous CS,2017,8,136.0,2,1,0,True,3,24.0,99.2,Goodyear,AZ,33.49,-112.41
1757842,Ford Transit Van N/A,2023,2,140.0,0,0,0,False,2,19.0,0.0,Phoenix,AZ,33.4,-112.17
1648755,Winnebago Revel 44E,2023,2,249.0,2,1,1,False,3,19.7,100.0,Buckeye,AZ,33.49,-112.49
1648936,Winnebago Revel 44E,2023,2,299.0,3,1,1,True,3,19.7,0.0,Buckeye,AZ,33.49,-112.49
1650131,Winnebago Revel 44E,2023,2,299.0,3,1,1,True,3,19.7,100.0,Buckeye,AZ,33.49,-112.49
1650340,Winnebago Revel 44E,2023,2,299.0,2,1,0,True,3,19.7,100.0,Buckeye,AZ,33.49,-112.49
1689243,Winnebago Revel 44E,2024,1,249.0,2,1,0,True,3,19.6,100.0,Buckeye,AZ,33.49,-112.49
1609326,Ford Transit T250,2015,10,102.0,1,0,0,True,2,18.0,83.636,Chandler,AZ,33.35,-111.88
1732583,Winnebago Solis 59PX,2025,0,195.0,3,1,1,True,4,21.0,100.0,Phoenix,AZ,33.58,-112.03
1743299,mercedes-benz Sprinter 2500,2019,6,219.0,1,1,0,False,2,23.0,100.0,Mesa,AZ,33.38,-111.76
1622538,Thor Motor Coach Tellaro 20AT,2022,3,172.0,2,1,1,False,3,21.0,96.0,Wittmann,AZ,33.74,-112.55
1754760,Pleasure-Way Plateau TS,2021,4,180.0,2,1,1,False,3,22.75,100.0,Phoenix,AZ,33.5,-112.08
1692976,Thor Motor Coach Tellaro 20L,2023,2,209.0,3,1,1,True,2,21.0,100.0,Chandler,AZ,33.28,-111.96
1625083,Winnebago Solis 59P,2022,3,225.0,2,0,1,True,2,20.0,100.0,Chandler,AZ,33.26,-111.81
1738911,Thor Motor Coach Tranquility 19M,2025,0,239.0,1,1,0,False,2,20.0,100.0,Phoenix,AZ,33.56,-112.07
1739532,Entegra Coach Ethos 20T,2024,1,225.0,2,1,1,False,2,21.0,0.0,Chandler,AZ,33.29,-111.95
1693777,Mercedes Sprinter Van OLYMPUS,2023,2,191.0,1,1,0,False,2,19.5,100.0,Gilbert,AZ,33.33,-111.72
1712190,Jayco Swift 20D,2023,2,170.0,3,1,1,True,4,20.0,56.0,Phoenix,AZ,33.72,-112.1
