id,headline,make_model,year,type,price_nightly,sleeps,length,fresh_water_tank,electric_service,generator_included,lat,lng,state,city,review_score,review_count,is_instant_book,search_county,has_bathroom,has_generator
1640820,Vancy - The Fancy Campervan,RAM Promaster 3500 EXT High Roof,2021,Class B Camping Van,250.0,2,19.0,45.0,30.0,4,30.53,-87.58,AL,Robertsdale,0.0,0,True,Baldwin County,1,1
1736928,New Horizons,Winnebago Travato 59G,2018,Class B Camping Van,199.0,3,21.0,21.0,30.0,24,30.29,-87.62,AL,Orange Beach,100.0,2,False,Baldwin County,1,1
1731061,The Maui is a 2016 Mercedes Sprinter 2500,Mercedes Sprinter 2500,2016,Class B Camping Van,178.0,4,19.6,20.0,200.0,24,30.63,-87.19,FL,Pace,0.0,0,False,Baldwin County,1,1
1719711,Luxurious 2021 Midwest Automotive Design Passage,Midwest Automotive Designs Passage MD4 Lounge 170 EXT,2021,Class B Camping Van,191.0,2,24.0,,30.0,0,33.31,-86.78,AL,Pelham,100.0,4,False,Bibb County,0,0
1686274,Mercedes Sprinter Winnebago ERA 70X,Winnebago Era 70X,2014,Class B Camping Van,195.0,2,24.0,25.0,30.0,4,33.42,-86.66,AL,Birmingham,100.0,7,False,Bibb County,1,1
1669451,2014 Mercedes Sprinter Van 2500,Sprinter Mercedes 2500,2014,Class B Camping Van,300.0,1,20.0,,,0,33.41,-86.64,AL,Birmingham,0.0,0,False,Bibb County,0,0
1751158,2021 Winnebago Solis HAL 1678,Winnebago Solis 59PX,2021,Class B Camping Van,299.0,4,21.0,,30.0,2,34.94,-86.43,AL,New Market,0.0,0,False,DeKalb County,0,1
1625413,Vista Adventure Vans - Pet Friendly  2020 AWD Transit High Roof,Ford Transit High Roof,2020,Class B Camping Van,200.0,3,22.0,10.0,,0,35.09,-85.24,TN,Chattanooga,100.0,2,False,Jackson County,0,0
1698254,2017 Mercedes Sprinter High Roof 2wd Free Miles,Mercedes Mercedes Sprinter,2017,Class B Camping Van,265.0,2,19.0,25.0,20.0,0,61.14,-149.85,AK,Anchorage,95.0,4,True,Anchorage Municipality,1,0
1641848,2014 Mercedes Sprinter High Roof Unlimited Mileage,Sprinter Mercedes 2wd,2014,Class B Camping Van,265.0,2,19.0,20.0,20.0,0,61.14,-149.85,AK,Anchorage,100.0,3,True,Anchorage Municipality,1,0
1647659,2022 Mercedes Sprinter 4x4 High Roof Free Miles,Mercedes Sprinter 2500 4x4,2022,Class B Camping Van,361.0,2,19.0,25.0,10.0,0,61.14,-149.85,AK,Anchorage,100.0,4,False,Anchorage Municipality,1,0
1679369,Active Pop Top | Anchorage | Unlimited Miles,Active Pop Top,2021,Class B Camping Van,1000.0,4,19.9,,,0,61.17,-149.88,AK,Anchorage,100.0,1,True,Anchorage Municipality,0,0
1590799,2021 Sprinter High Roof Camper 4x4 Unlimited Miles,Mercedes freightliner Sprinter 2500 4x4,2021,Class B Camping Van,329.0,2,19.0,25.0,20.0,0,61.14,-149.85,AK,Anchorage,100.0,6,True,Anchorage Municipality,1,0
1431992,Poppy the Off-Grid Camper Van by BNRiNOVAtions,Dodge promaster 2500,2018,Class B Camping Van,243.0,2,20.0,20.0,,0,61.16,-149.84,AK,Anchorage,100.0,1,False,Anchorage Municipality,1,0
1749887,Harvey Specter,Winnebago Travato 59K,2018,Class B Camping Van,379.0,2,21.0,,30.0,2,61.22,-149.87,AK,Anchorage,0.0,0,True,Anchorage Municipality,0,1
1749890,Louis Litt,Roadtrek Roadtrek Chase,2022,Class B Camping Van,409.0,2,20.0,,30.0,2,61.22,-149.87,AK,Anchorage,0.0,0,True,Anchorage Municipality,0,1
1200797,2019 Winnebago Revel,Winnebago Revel,2019,Class B Camping Van,500.0,2,19,,,-1,61.18,-149.75,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,0
1678881,Adventure Tent | Anchorage | Unlimited Miles,Adventure Tent 4x4,2021,Class B Camping Van,1000.0,2,15.7,,,0,61.17,-149.88,AK,Anchorage,0.0,0,True,Anchorage Municipality,0,0
1648461,2019 Ford Transit High Roof off the grid(Poseidon),Ford Transit High Roof,2019,Class B Camping Van,280.0,2,22.0,,,4,61.16,-149.87,AK,Anchorage,83.333,6,False,Anchorage Municipality,0,1
1678883,Adventure Tent | Anchorage | Unlimited Miles,Adventure Tent 4x4,2021,Class B Camping Van,1000.0,2,15.7,,,0,61.17,-149.88,AK,Anchorage,0.0,0,True,Anchorage Municipality,0,0
1678885,Adventure Tent | Anchorage | Unlimited Miles,Adventure Tent 4x4,2023,Class B Camping Van,1000.0,2,15.7,,,0,61.17,-149.88,AK,Anchorage,0.0,0,True,Anchorage Municipality,0,0
1679364,Active Pop Top | Anchorage | Unlimited Miles,Active Pop Top,2023,Class B Camping Van,1000.0,4,19.9,20.0,,0,61.17,-149.88,AK,Anchorage,0.0,0,True,Anchorage Municipality,1,0
1667392,2015 Mercedes Sprinter 2500(Manta Ray),Mercedes Sprinter 2500,2015,Class B Camping Van,349.0,3,22.0,,,0,61.16,-149.87,AK,Anchorage,86.667,3,False,Anchorage Municipality,0,0
1709066,"""Vanimal"" 2023 Ram Promaster camper van","RAM Promaster 159"" Converted Campervan",2023,Class B Camping Van,299.0,4,20.0,10.0,,0,61.1,-149.86,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,0
1569968,2020 Ford Transit 350 High Roof AWD(Nurse Shark),Ford Transit 350 High Roof,2020,Class B Camping Van,349.0,4,22.0,30.0,300.0,0,61.16,-149.87,AK,Anchorage,100.0,11,False,Anchorage Municipality,1,0
1709061,"2020 Mercedes Sprinter Campervan ""Van Gogh""",Mercedes Sprinter Converted Sprinter van,2020,Class B Camping Van,299.0,4,20.0,6.0,,0,61.1,-149.86,AK,Anchorage,100.0,1,False,Anchorage Municipality,0,0
1740766,"""Clifford"" - 2021 Ram Promaster Camper Van","Dodge Ram Promaster 159""",2021,Class B Camping Van,299.0,4,13.25,,,4,61.1,-149.86,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,1
1677685,Mermaid - 2021 Mercedes-Benz Sprinter,Mercedes-Benz Sprinter 2500,2021,Class B Camping Van,349.0,5,21.0,,,4,61.16,-149.87,AK,Anchorage,100.0,1,False,Anchorage Municipality,0,1
1716634,Kraken - 2021 Winnebago Solis 36A,Winnebago Solis 36A,2021,Class B Camping Van,280.0,3,18.0,,,4,61.16,-149.87,AK,Anchorage,80.0,1,False,Anchorage Municipality,0,1
1613277,Luxury Sprinter Adventure Van (Whale Shark),Mercedes Bens Mercedes Sprinter,2008,Class B Camping Van,349.0,2,24.0,,,0,61.16,-149.87,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,0
1667385,2013 Mercedes Sprinter 2500(Seal),Mercedes Sprinter 2500,2013,Class B Camping Van,329.0,4,22.0,,,0,61.16,-149.87,AK,Anchorage,100.0,1,False,Anchorage Municipality,0,0
1714582,Walrus - 2015 Ram ProMaster,Ram Promaster Cargo Van,2015,Class B Camping Van,280.0,2,18.0,,,4,61.16,-149.87,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,1
1714695,Seahorse - 2017 Dodge Grand Caravan,Dodge Grand Caravan,2017,Class B Camping Van,209.0,4,17.0,,,4,61.16,-149.87,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,1
1716734,Sockeye 2018 Dodge Promaster,Dodge Promaster Van,2018,Class B Camping Van,329.0,2,19.0,,,4,61.16,-149.87,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,1
1662870,2021 Mercedes Sprinter 2500(Grey Whale),Mercedes Sprinter 2500,2021,Class B Camping Van,329.0,2,22.0,,,0,61.16,-149.87,AK,Anchorage,100.0,3,False,Anchorage Municipality,0,0
1664369,2016 Ford Transit High Roof 350(Orca),Ford Transit High Roof 350,2016,Class B Camping Van,339.0,4,22.0,30.0,,0,61.16,-149.87,AK,Anchorage,100.0,3,False,Anchorage Municipality,1,0
1476649,Vanlife Alaska | Overland Alaska Unit #1,Ram Promaster 1500,2019,Class B Camping Van,275.0,2,18.0,5.0,,0,61.17,-149.98,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,0
1712184,2017 Roadtrek Adventurous CS,Roadtrek Adventurous CS,2017,Class B Camping Van,136.0,3,24.0,30.0,30.0,0,33.49,-112.41,AZ,Goodyear,99.2,25,True,Maricopa County,1,0
1757842,2023 Ford Transit: Bike Rack Option w/ Flex Miles,Ford Transit Van N/A,2023,Class B Camping Van,140.0,2,19.0,,30.0,0,33.4,-112.17,AZ,Phoenix,0.0,0,False,Maricopa County,0,0
1648755,2023 Winnebago Revel 4x4 Diesel OFF RD7,Winnebago Revel 44E,2023,Class B Camping Van,249.0,3,19.7,21.0,30.0,24,33.49,-112.49,AZ,Buckeye,100.0,6,False,Maricopa County,1,1
1648936,2023 Winnebago Revel 4x4 Diesel OFF RD4,Winnebago Revel 44E,2023,Class B Camping Van,299.0,3,19.7,21.0,30.0,24,33.49,-112.49,AZ,Buckeye,0.0,0,True,Maricopa County,1,1
1650131,2023 Winnebago Revel 4x4 Diesel OFF RD3,Winnebago Revel 44E,2023,Class B Camping Van,299.0,3,19.7,21.0,30.0,4,33.49,-112.49,AZ,Buckeye,100.0,1,True,Maricopa County,1,1
1650340,2023 Winnebago Revel 4X4 Diesel OFF RD8,Winnebago Revel 44E,2023,Class B Camping Van,299.0,3,19.7,21.0,30.0,0,33.49,-112.49,AZ,Buckeye,100.0,2,True,Maricopa County,1,0
1689243,2024 Winnebago Revel 4x4 Diesel OFF RD6,Winnebago Revel 44E,2024,Class B Camping Van,249.0,3,19.6,21.0,30.0,0,33.49,-112.49,AZ,Buckeye,100.0,2,True,Maricopa County,1,0
1609326,"Ponderosa - All Seasons, Adventure Camper Van",Ford Transit T250,2015,Class B Camping Van,102.0,2,18.0,10.0,,0,33.35,-111.88,AZ,Chandler,83.636,11,True,Maricopa County,0,0
